t,RC,Vin,Vout
9.87987987987988,4,-1,-0.08713981569333185
9.88988988988989,4,-1,-0.08942139440386192
9.8998998998999,4,-1,-0.09169727059558216
9.90990990990991,4,-1,-0.09396745852364419
9.91991991991992,4,-1,-0.09623197240785622
9.92992992992993,4,-1,-0.09849082643278537
9.93993993993994,4,-1,-0.10074403474785996
9.94994994994995,4,-1,-0.10299161146747192
9.95995995995996,4,-1,-0.10523357067107897
9.96996996996997,4,-1,-0.107469926403307
9.97997997997998,4,-1,-0.10970069267405246
9.98998998998999,4,-1,-0.11192588345858448
10.0,4,1,-0.11414548379354482
0.0,1,1,0.0
0.01001001001001001,1,1,0.00996008850815686
0.02002002002002002,1,1,0.01982094652202543
0.03003003003003003,1,1,0.029583595206594773
0.04004004004004004,1,1,0.03924901608840338
0.050050050050050046,1,1,0.048818168449884444
0.06006006006006006,1,1,0.05829201150329962
0.07007007007007007,1,1,0.06767149476975166
0.08008008008008008,1,1,0.0769575581053972
0.09009009009009009,1,1,0.0861511319756728
0.10010010010010009,1,1,0.09525313765869203
0.11011011011011011,1,1,0.1042644875573579
0.12012012012012012,1,1,0.11318608238372518
0.13013013013013014,1,1,0.12201881705163842
0.14014014014014015,1,1,0.1307635770227433
0.15015015015015015,1,1,0.13942123843760393
0.16016016016016016,1,1,0.14799266898095767
0.17017017017017017,1,1,0.15647872729590936
0.18018018018018017,1,1,0.16488026393655605
0.19019019019019018,1,1,0.17319812063402673
0.20020020020020018,1,1,0.18143313097314218
0.21021021021021022,1,1,0.18958612108342943
0.22022022022022023,1,1,0.19765790791627305
0.23023023023023023,1,1,0.2056493000425873
0.24024024024024024,1,1,0.21356109782899713
0.2502502502502503,1,1,0.221394093536706
0.2602602602602603,1,1,0.22914907142036356
0.2702702702702703,1,1,0.23682680782693358
0.2802802802802803,1,1,0.24442807146439863
0.2902902902902903,1,1,0.251953624589668
0.3003003003003003,1,1,0.25940422139694186
0.3103103103103103,1,1,0.2667806085216362
0.3203203203203203,1,1,0.2740835253420793
0.3303303303303303,1,1,0.28131370408895534
0.34034034034034033,1,1,0.28847186995474783
0.35035035035035034,1,1,0.29555874120318365
0.36036036036036034,1,1,0.30257502916074724
0.37037037037037035,1,1,0.3095214356181852
0.38038038038038036,1,1,0.31639865575223053
0.39039039039039036,1,1,0.3232073785535222
0.40040040040040037,1,1,0.3299482860956135
0.41041041041041043,1,1,0.3366220536012305
0.42042042042042044,1,1,0.3432293495085311
0.43043043043043044,1,1,0.3497708356276615
0.44044044044044045,1,1,0.3562471677226565
0.45045045045045046,1,1,0.36265899480438113
0.46046046046046046,1,1,0.36900695938812667
0.47047047047047047,1,1,0.37529169764459347
0.4804804804804805,1,1,0.38151383947474765
0.4904904904904905,1,1,0.38767400858467843
0.5005005005005005,1,1,0.3937728223217269
0.5105105105105106,1,1,0.3998108913755556
0.5205205205205206,1,1,0.40578882073997824
0.5305305305305306,1,1,0.41170720942022465
0.5405405405405406,1,1,0.41756665047258534
0.5505505505505506,1,1,0.4233677310693034
0.5605605605605606,1,1,0.4291110325634659
0.5705705705705706,1,1,0.43479713039774415
0.5805805805805806,1,1,0.44042659419487057
0.5905905905905906,1,1,0.4459999880324043
0.6006006006006006,1,1,0.45151787038513935
0.6106106106106106,1,1,0.45698079418635285
0.6206206206206206,1,1,0.4623893068891273
0.6306306306306306,1,1,0.46774395052046863
0.6406406406406406,1,1,0.4730452615064444
0.6506506506506506,1,1,0.47829377095718634
0.6606606606606606,1,1,0.48349000478337945
0.6706706706706707,1,1,0.48863448367447365
0.6806806806806807,1,1,0.49372772315614977
0.6906906906906907,1,1,0.49877023364778605
0.7007007007007007,1,1,0.5037625204370414
0.7107107107107107,1,1,0.5087050837301618
0.7207207207207207,1,1,0.5135984186311183
0.7307307307307307,1,1,0.5184430154747377
0.7407407407407407,1,1,0.5232393597231414
0.7507507507507507,1,1,0.527987932021534
0.7607607607607607,1,1,0.5326892082534238
0.7707707707707707,1,1,0.5373436594394878
0.7807807807807807,1,1,0.541951751544487
0.7907907907907907,1,1,0.5465139462425842
0.8008008008008007,1,1,0.5510307006557228
0.8108108108108109,1,1,0.5555024673759401
0.8208208208208209,1,1,0.5599296945144511
0.8308308308308309,1,1,0.5643128257500729
0.8408408408408409,1,1,0.5686523003769932
0.8508508508508509,1,1,0.5729485533518779
0.8608608608608609,1,1,0.577202015340322
0.8708708708708709,1,1,0.5814131127626423
0.8808808808808809,1,1,0.5855822678390114
0.8908908908908909,1,1,0.5897098986339333
0.9009009009009009,1,1,0.5937964190924985
0.9109109109109109,1,1,0.59784223860343
0.9209209209209209,1,1,0.6018477620271188
0.9309309309309309,1,1,0.6058133898273421
0.9409409409409409,1,1,0.6097395184892531
0.950950950950951,1,1,0.6136265419210117
0.960960960960961,1,1,0.6174748500864616
0.970970970970971,1,1,0.6212848296984507
0.980980980980981,1,1,0.6250568618213802
0.990990990990991,1,1,0.6287913242169123
1.001001001001001,1,-1,0.630487546245719
1.011011011011011,1,-1,0.6142477653732378
1.021021021021021,1,-1,0.5981697339624898
1.031031031031031,1,-1,0.5822518409497287
1.0410410410410411,1,-1,0.5664924912664874
1.0510510510510511,1,-1,0.5508901058361336
1.0610610610610611,1,-1,0.5354431213751074
1.0710710710710711,1,-1,0.5201499902108556
1.0810810810810811,1,-1,0.5050091799351717
1.0910910910910911,1,-1,0.4900191733892809
1.1011011011011012,1,-1,0.4751784685007701
1.1111111111111112,1,-1,0.46048557807439605
1.1211211211211212,1,-1,0.44593902985443357
1.1311311311311312,1,-1,0.4315373664229165
1.1411411411411412,1,-1,0.4172791446990429
1.1511511511511512,1,-1,0.40316293593804486
1.1611611611611612,1,-1,0.38918732561633074
1.1711711711711712,1,-1,0.37535091345840815
1.1811811811811812,1,-1,0.36165231305332257
1.1911911911911912,1,-1,0.34809015176431046
1.2012012012012012,1,-1,0.33466307060065975
1.2112112112112112,1,-1,0.3213697241884652
1.2212212212212212,1,-1,0.30820878055435114
1.2312312312312312,1,-1,0.29517892094370046
1.2412412412412412,1,-1,0.28227883971286893
1.2512512512512513,1,-1,0.2695072442476695
1.2612612612612613,1,-1,0.2568628548710167
1.2712712712712713,1,-1,0.24434440460638843
